Text,Predicted_Sentiment,Raw_Score
The purpose of this study was to develop teaching material to promote student s scientific literacy through blended teaching material on junior high school This teaching material was developed using the ADDIE design Having analysed and designed steps the online teaching material draft was then validated by five experts and twenty science teachers Furthermore the teaching material about the earth s atmosphere implemented to 38 junior high school students Data collection uses scientific literacy tests observation and questionnaires The analysis of data was carried out descriptive quantitative The results showed that the teaching material has been valid based on the result of five experts and twenty teachers assessing The teaching material on earth s atmosphere was able to promote students scientific literacy in terms of students to identify atmospheric issues in life make conclusions based on evidence and understand of the concepts Students also expressed satisfaction with the content and presentation of teaching material Keywords scientific literacy teaching material earth atmosphere blended learning DOI 10 7176 JEP 11 17 05 Publication date June 30th 2020,positive,0.9787
Abstract The GEOS Chem global chemical transport model CTM used by a large atmospheric chemistry research community has been re engineered to also serve as an atmospheric chemistry module for Earth system models ESMs This was done using an Earth System Modeling Framework ESMF interface that operates independently of the GEOS Chem scientific code permitting the exact same GEOS Chem code to be used as an ESM module or as a stand alone CTM In this manner the continual stream of updates contributed by the CTM user community is automatically passed on to the ESM module which remains state of science and referenced to the latest version of the standard GEOS Chem CTM A major step in this re engineering was to make GEOS Chem grid independent i e capable of using any geophysical grid specified at run time GEOS Chem data sockets were also created for communication between modules and with external ESM code The grid independent ESMF compatible GEOS Chem is now the standard version of the GEOS Chem CTM It has been implemented as an atmospheric chemistry module into the NASA GEOS 5 ESM The coupled GEOS 5 GEOS Chem system was tested for scalability and performance with a tropospheric oxidant aerosol simulation 120 coupled species 66 transported tracers using 48 240 cores and message passing interface MPI distributed memory parallelization Numerical experiments demonstrate that the GEOS Chem chemistry module scales efficiently for the number of cores tested with no degradation as the number of cores increases Although inclusion of atmospheric chemistry in ESMs is computationally expensive the excellent scalability of the chemistry module means that the relative cost goes down with increasing number of cores in a massively parallel environment,positive,0.9959
For a drought prone agricultural nation such as Australia hydro meteorological imbalances and increasing demand for water resources are immensely constraining terrestrial water reservoirs and regional scale agricultural productivity Two important components of the terrestrial water reservoir i e streamflow water level SWL and soil moisture SM are imperative both for agricultural and hydrological applications Forecasted SWL and SM can enable prudent and sustainable decisionmaking for agriculture and water resources management To feasibly emulate SWL and SM machine learning data intelligent models are a promising tool in today s rapidly advancing data science era Yet the naturally chaotic characteristics of hydro meteorological variables that can exhibit non linearity and non stationarity behaviors within the model dataset is a key challenge for non tuned machine learning models Another important issue that could confound model accuracy or applicability is the selection of relevant features to emulate SWL and SM since the use of too fewer inputs can lead to insufficient information to construct an accurate model while the use of an excessive number and redundant model inputs could obscure the performance of the simulation algorithm,positive,0.9549
This research thesis focusses on the development of hybridized dataintelligent models in forecasting SWL and SM in the upper layer surface to 0 2 m and the lower layer 0 2 1 5 m depth within the agricultural region of the Murray Darling Basin Australia The SWL quantifies the availability of surface water resources while the upper layer SM or the surface SM is important for surface runoff evaporation and energy exchange at the Earth Atmospheric interface The lower layer or the root zone SM is essential for groundwater recharge purposes plant uptake and transpiration This research study is constructed upon four primary objectives designed for the forecasting of SWL and SM with subsequent robust evaluations by means of statistical metrics in tandem with the diagnostic plots of observed and modeled datasets,positive,0.9295
The first objective establishes the importance of feature selection or optimization in the forecasting of monthly SWL at three study sites within the Murray Darling Basin Artificial neural network ANN model optimized with iterative input selection IIS algorithm named IIS ANN is developed whereby the IIS algorithm achieves feature optimization The IIS ANN model outperforms the standalone models and a further hybridization is performed by integrating a nondecimated and advanced maximum overlap discrete wavelet transformation MODWT technique The IIS selected inputs are transformed into wavelet subseries via MODWT to unveil the embedded features leading to IIS W ANN model The IIS W ANN outperforms the comparative IIS W M5 Model Tree IIS based and standalone models,positive,0.9902
In the second objective improved self adaptive multi resolution analysis MRA techniques ensemble empirical mode decomposition EEMD and complete ensemble empirical mode decomposition with adaptive noise CEEMDAN are utilized to address the non stationarity issues in forecasting monthly upper and lower layer soil moisture at seven sites The SM time series are decomposed using EEMD CEEMDAN into respective intrinsic mode functions IMFs and residual components Then the partial auto correlation function based significant lags are,positive,0.9948
utilized as inputs to the extreme learning machine ELM and random forest RF models The hybrid EEMD ELM yielded better results in comparison to the CEEMDAN ELM EEMD RF CEEMDAN RF and the classical ELM and RF models,negative,0.0556
Since SM is contingent upon many influential meteorological hydrological and atmospheric parameters for the third objective sixty predictor inputs are collated,positive,0.9234
in forecasting upper and lower layer soil moisture at four sites An ANN based ensemble committee of models ANN CoM is developed integrating a two phase feature optimization via Neighborhood Component Analysis based feature selection algorithm for regression fsrnca and a basic ELM The ANN CoM shows better predictive performance in comparison to the standalone second order Volterra M5 Model Tree RF and ELM models,positive,0.8681
In the fourth objective a new multivariate sequential EEMD based modelling is developed The establishment of multivariate sequential EEMD is an advancement,positive,0.9474
of the classical single input EEMD approach achieving a further methodological improvement This multivariate approach is developed to allow for the utilization of,positive,0.7781
multiple inputs in forecasting SM The multivariate sequential EEMD optimized with cross correlation function and Boruta feature selection algorithm is integrated with the ELM model in emulating weekly SM at four sites The resulting hybrid multivariate sequential EEMD Boruta ELM attained a better performance in comparison with the multivariate adaptive regression splines MARS counterpart EEMD Boruta MARS and standalone ELM and MARS models,negative,0.3921
The research study ascertains the applicability of feature selection algorithms integrated with appropriate MRA for improved hydrological forecasting Forecasting at shorter and near real time horizons i e weekly would help reinforce scientific tenets in designing knowledge based systems for precision agriculture and climate change adaptation policy formulations,positive,0.9762
Specialists in several branches of life sciences are trying to solve piece by piece the immensely complex puzzle of the origin of life Some parts of the puzzle seem to appear with a rather high degree of clarity while others remain totally obscure We cannot be sure that life emerged only on our Earth but we believe that the presence of large amounts of water in its liquid state is absolutely essential for the emergence and evolution of living matter We can also assume that the latter exploits everywhere the same light elements mainly C H O N S and P and somehow manipulates the same simple monomeric and polymeric organic compounds such as alpha amino acids carbohydrates nucleic bases and surface active carboxylic acids The author contributes to the field by stating that all fundamental particles of our matter are homochiral and predominantly produce in an absolute asymmetric synthesis amino acids of L configuration and carbohydrates of D series Another important point is that free atmospheric oxygen mainly stems from the photolysis of water molecules by cosmic irradiation and is not necessarily bound to living organisms on the planet,positive,0.9962
The lack of observations over vast tropical oceans is a major challenge for tropical cyclone research Satellite observations and model reanalysis data play an important role in filling these gaps Established in the mid 1980s the Goddard Earth Sciences Data and Information Services Center GES DISC as one of the 12 NASA data centers archives and distributes data from several Earth science disciplines such as precipitation atmospheric dynamics atmospheric composition and hydrology including well known NASA satellite missions e g TRMM GPM and model assimilation projects MERRA 2 Acquiring datasets suitable for tropical cyclone research in a large data archive is a challenge for many especially for those who are not familiar with satellite or model data Over the years the GES DISC has developed user friendly data services For example Giovanni is an online visualization and analysis tool allowing users to visualize and analyze over 2000 satellite and model based variables with a Web browser without downloading data and software In this chapter we will describe data and services at the GES DISC with emphasis on tropical cyclone research We will also present two case studies and discuss future plans,positive,0.9992
The influence of deep convection on water vapor in the Tropical Tropopause Layer TTL the region just below the high sim 18 km cold tropical tropopause remains an outstanding question in atmospheric science Moisture transport to this region is important for climate projections because it drives the formation of local cirrus ice clouds which have a disproportionate impact on the Earth s radiative balance Deep cumulus towers carrying large volumes of ice are known to reach the TTL but their importance to the water budget has been debated for several decades We show here that profiles of the isotopic composition of water vapor can provide a quantitative estimate of the convective contribution to TTL moistening Isotopic measurements from the ACE satellite instrument in conjunction with ice loads inferred from CALIOP satellite measurements and simple mass balance modeling suggest that convection is the dominant source of water vapor in the TTL up to near tropopause altitudes The relatively large ice loads inferred from CALIOP satellite measurements can be produced only with significant water sources and isotopic profiles imply that these sources are predominantly convective ice Sublimating ice from deep convection appears to increase TTL cirrus by a factor of several over that expected if cirrus production were driven only by large scale uplift sensitivity analysis implies that these conclusions are robust for most physically reasonable assumptions Changes in tropical deep convection in future warmer conditions may thus provide an important climate feedback,positive,0.9979
Jupiter s Galilean satellite Io is one of the most remarkable objects in our Solar System The tidal heating Io undergoes through its orbital resonance with Europa and Ganymede has resulted in a body rich in active silicate volcanism Over the past decades Io has been observed from ground based and Earth orbiting telescopes and by several spacecraft In this review we summarize the progress made toward our understanding of the physical and chemical processes related to Io and its environment since the Galileo era Io science has been revolutionized by the use of adaptive optics techniques on large 8 to 10 m telescopes The resultant ever increasing database mapping the size style and spatial distribution of Io s diverse volcanoes has improved our understanding of Io s interior structure its likely composition and the tidal heating process Additionally new observations of Io s atmosphere obtained with these large optical infrared telescopes and the Atacama Large Millimeter submillimeter Array reveal the presence of volcanic plumes the at times near collapse of Io s atmosphere during eclipse and the interactions of plumes with the sublimation atmosphere Extensive new data sets of Io at ultraviolet mid to near infrared and radio wavelengths have been gathered since the Galileo era New data and models inform us about tidal heating surface properties and magma composition across Io although key questions remain Atmospheric observations indicate a dominant sublimation supported component and reinforce the presence of stealth volcanism Observations of volcanic plumes show high gas velocities up to 1 km s and their effect on Io s atmosphere Expected final online publication date for the Annual Review of Earth and Planetary Sciences Volume 49 is May 2021 Please see http www annualreviews org page journal pubdates for revised estimates,positive,0.9967
As both Jane Bennett and William Connolly have argued time is an ever present reference point for climate action and for the Anthropocene The era is characterized by temporal thresholds and tipping points as well as historic junctures that indicate a radical shift in geo bio and atmospheric processes In the context of prevailing narratives of late planetary capitalism and the Anthropocene we the Western anti heroes of planetary destruction have a problem with time Namely we are running out of it or have already arrived at our last best chance or we have already passed the threshold and it has become too late In the face of this crisis of time Bennett writes there is a presumption that the necessary response is one of immediate action The kind of action that perhaps follows the science to institute transformative political change in which a uniquely human and sovereign power takes action in a field or spatial locale that is not itself considered to have a comparable kind of efficacy Bennett this special issue In this reflection on Bennett and Connolly s work I consider the temporal dimensions of political subjectivity and action in the Anthropocene In conversation with my own work in the science of jellyfish research I consider what it might mean to take seriously the heterogeneous temporalities Connolly this special issue that constitute the earth as an abstract machine I follow Bennett s line of questioning to ask after the kinds of action appropriate to a plurality of geographies and temporalities Ultimately I argue that taking heterogeneous temporalities seriously will require new forms and methods of inquiry scientific and otherwise,negative,0.1394
This study explores the impact of the exosphere hydrogen H density on the ionosphere plasmasphere system using a model whose key inputs are constrained by ionosphere observations at both ends of the magnetic field line with an L value of 1 75 in the American longitudinal sector during a period with low solar and magnetic activities This study is the first to be validated by ground based and satellite data in the plasmasphere and both hemispheres The main finding is that the entire ionosphere plasmasphere system is very sensitive to the neutral hydrogen density in the lower exosphere It was found that an increase in the H density by a factor of 2 75 from the commonly accepted values was necessary to bring the simulated plasma density into satisfactory agreement with Arase satellite measurements in the plasmasphere and also with DMSP satellite measurements in the topside ionospheres of the northern and southern hemispheres A factor of 2 75 increase in the H density increases the simulated plasma density in the afternoon plasmasphere up to 80 and in the nighttime topside ionosphere up to 100 These results indicate prominently that using the commonly accepted empirical model of the H density causes unacceptable errors in the simulated plasma density of the near Earth plasma shells We alert the space science community of this problem,positive,0.8929
The apparent youthfulness of Venus surface features given a lack of plate tectonics is very intriguing however longduration seismic observations are essentially impossible given the inhospitable surface of Venus The Venus Airglow Measurements and Orbiter for Seismicity VAMOS mission concept uses the fact that the dense Venusian atmosphere conducts seismic vibrations from the surface to the airglow layer of the ionosphere as observed on Earth Similarly atmospheric gravity waves have been observed by the European Venus Express s Visible and Infrared Thermal Imaging Spectrometer VIRTIS instrument Such observations would enable VAMOS to determine the crustal structure and ionospheric variability of Venus without approaching the surface or atmosphere Equipped with an instrument of modest size and mass the baseline VAMOS spacecraft is designed to fit within an ESPA Grande form factor and travel to Venus predominantly under its own power Trade studies have been conducted to determine mission architecture robustness to launch and rideshare opportunities The VAMOS mission concept was studied at JPL as part of the NASA Planetary Science Deep Space SmallSat Studies PSDS3 program which has not only produced a viable and exciting mission concept for a Venus SmallSat but has also examined many issues facing the development of SmallSats for planetary exploration such as SmallSat solar electric propulsion autonomy telecommunications and resource management that can be applied to various inner solar system mission architectures,negative,0.3942
In December 1968 during its annual meeting the American Association for the Advancement of Science convened a symposium on the Global Effects of Environmental Pollution In the words of the organizer of this symposium Mr S Fred Singer the purposes were to discuss the worldwide effects which may arise from local pollution and to try to uncover if possible hitherto unsuspected effects which might have serious consequence The symposium papers have been augmented here by some additional invited papers and by introductions to each set of papers The book is not as comprehensive as the title suggests many aspects of environmental pollution are not discussed e g thermal pollution of air and water from the conversion of energy by the combustion of fossil fuels Information about environmental pollution is divided into four parts 1 chemical balance of gases in the earth s atmosphere 2 nitrogen compounds in soil water atmosphere and precipitation 3 effects of atmospheric pollution on climate and 4 worldwide ocean pollution by toxic wastes It is apparent from this classification that the primary focus of these papers is the atmospheric sciences The discussions of the balance of oxygen and of carbon dioxide in the earth s atmosphere are particularly well done This book should interest all students of human ecology as it provides much factual material about some of the present problems of environmental pollution Although much of the material presented is very technical the papers are easy to read and to understand but those who are looking for proposed solutions to current pollution problems may be disappointed in the book because such proposals are lacking This is a book that should find its way into the library of all scientists It is well written and the brief concluding chapter entitled Some Unsolved Problems A Panel Discussion is particularly provocative ERIC W MOOD,positive,0.9849
This perspective overviews the requirements to operate air breathing electric propulsion ABEP systems in low altitude orbits We highlight the needed scientific advancements to realize these technologies including innovations at the intersection of electric propulsion gas dynamics air chemistry and material science In addition we describe specific scientific and technological challenges that constrain the operation of ABEP systems These include the collection and compression of atmospheric propellant producing enough thrust to counteract drag generating and sustaining plasmas satisfying the power requirements to maintain orbit operating with minimal flow rates of propellant passivating materials and understanding the effects of air chemistry Finally we offer an outlook on the future of ABEP systems and how they can influence the optimization efficiency and capabilities of future missions in very low Earth orbit,positive,0.7505
The Korea Aerospace Research Institute launched KOMPSAT 5 on August 22 2013 and has been operating for 10 years KOMPSAT 5 has SAR Synthetic Aperture Radar for earth observation missions and collects data necessary for earth atmosphere analysis through GNSS RO Radio Occultation receivers RO data can be used for numerical weather forecast model based on temperature pressure and humidity by calculating the vertical distribution of atmospheric information As a part of the Korea US science and technology cooperation KARI has been providing RO data of KOMPSAT 5 to the United States NOAA National Oceanic and Atmospheric Administration in near real time since 2018 To this end KARI receives telemetry data from the satellite about 12 times a day using 3 ground stations from Daejeon Alaska in the U S and Sodankyla in Finland The pre processed data is being provided to both the UCAR University Corporation for Atmospheric Research in the U S and the KASI Korea Astronomy and Space Science Institute In this paper radio occlusion data of KOMPSAT 5 is introduced and system configuration operation concepts for providing near real time data and its application are also presented,positive,0.9954
Atmospheric Chemistry and Physics Open Access Atmos Chem Phys 14 3063 3064 2014 www atmos chem phys net 14 3063 2014 doi 10 5194 acp 14 3063 2014 Author s 2014 CC Attribution 3 0 License Corrigendum to Aerosol impacts on California winter clouds and precipitation during CalWater 2011 local pollution versus long range transported dust published in Atmos Chem Phys 14 81 101 2014 J Fan 1 L R Leung 1 P J DeMott 2 J M Comstock 1 B Singh 1 D Rosenfeld 3 J M Tomlinson 1 A White 4 K A Prather 5 P Minnis 6 J K Ayers 7 and Q Min 8 1 Climate Physics Pacific Northwest National Laboratory Richland WA 99352 USA of Atmospheric Science Colorado State University Fort Collins CO 80523 USA 3 Institute of Earth Sciences The Hebrew University of Jerusalem Jerusalem 91904 Israel 4 NOAA ESRL R PSD2 325 Broadway Boulder CO 80305 USA 5 Department of Chemistry and Biochemistry Scripps Institution of Oceanography University of California San Diego La Jolla CA 92093 0314 USA 6 NASA Langley Research Center LaRC Hampton VA USA 7 Science Systems and Applications Incorporated Hampton VA USA 8 Atmospheric Sciences Research Center State University of New York at Albany Albany NY 12203 USA 2 Department Correspondence to J Fan jiwen fan pnnl gov In the paper Aerosol impacts on California winter clouds and precipitation during CalWater 2011 local pollution ver sus long range transported dust by J Fan et al wrong ver sions of Fig 8 and Fig 12 were published Please find the correct figures below Fig 8 Total rain blue and snow red mass concentrations at the lowest model level 50 m above terrain height summed over the domain 2 and during the day 00 00 23 00 UTC from all the simulations shown in x axis for a FEB16 and b MAR02 Published by Copernicus Publications on behalf of the European Geosciences Union,negative,0.088
This chapter explores the key carbon compounds that shaped the Archean biogeochemical cycle delineating their substantial impact on Earth s primordial atmospheric and biospheric evolution At the heart of the Archean carbon cycle were carbon dioxide and methane which served as key regulators of Earth s early climate Particular emphasis is placed on methane cycling encompassing both abiotic methane production and consumption as well as their biotic counterparts methanogenesis and methanotrophy These ancient microbial pathways not only shaped methane fluxes but were also tightly interwoven with Earth s evolving redox state We provide a comprehensive exploration of the intertwined evolution of Earth s geochemical environment and microbial life The interdisciplinary approach of this chapter not only sheds light on the complex dynamics of Earth s early methane cycling but also offers critical insights that could inform the search for life beyond our planet thereby marking a contribution to Earth sciences astrobiology and related fields,positive,0.9962
The Giant Magellan Telescope GMT design consists of seven circular 8 4 m diameter mirrors together forming a single 25 4 m diameter primary mirror This large aperture and collecting area can help extreme adaptive optics ExAO systems such as GMT s GMagAO X achieve the small angular resolutions and contrasts required to image habitable zone earth like planets around late type stars and possibly lead to the discovery of life outside of our solar system However the GMT primary mirror segments are separated by large 30 cm gaps creating the possibility of fluctuations in optical path differences piston due to flexure segment vibrations wind buffeting temperature effects and atmospheric seeing In order to utilize the full diffraction limited aperture of the GMT for high contrast natural guide star adaptive optics NGSAO science the seven mirror segments must be co phased to well within a fraction of a wavelength The current design of the GMT involves seven adaptive secondary mirrors a slow 0 03 Hz off axis dispersed fringe sensor part of the Acquisition Guiding and Wavefront Sensing System s AGWS active optics off axis guider and a pyramid wavefront sensor PyWFS part of the Natural Guide star Wavefront Sensor NGWS adaptive optics to measure and correct the total path length between segment pairs but these methods have yet to be tested end to end in a lab environment We present the design and working prototype of a GMT High Contrast adaptive Optics phasing Testbed p HCAT which leverages the existing MagAO X ExAO instrument to demonstrate segment phase sensing and simultaneous AO control for high contrast GMT natural guide star science i e testing the NGWS wavefront sensor WFS architecture We present the first test results of closed loop piston control with one GMT segment using MagAO X s PyWFS with and without simulated atmospheric turbulence We show that the PyWFS was able to successfully control segment piston without turbulence within 12 33 nm RMS for 0 λ D 5 λ D modulation but was unsuccessful at controlling segment piston with generated 0 6 arcsec median seeing conditions at the GMT site and 1 2 arcsec seeing turbulence due to non linear modal cross talk and poor pixel sampling of the segment gaps on the PyWFS detector These results suggest that a PyWFS alone is not an ideal piston sensor for the GMT and likely the TMT and ELT Hence a dedicated second channel piston sensor is required We report the success of an alternate solution to control piston using a novel Holographic Dispersed Fringe Sensor HDFS while controlling all other modes with the PyWFS purely as a slope sensor piston mode removed This second channel WFS method worked well to control segment piston to within 50 nm RMS and 10μm dynamic range under simulated 0 6 arcsec atmospheric seeing median seeing conditions at the GMT site These results led to the inclusion of the HDFS as the official second channel piston sensor for the GMT NGWS WFS This HDFS PyWFS architecture should also work well to control piston petal modes on the ELT and TMT telescopes,positive,0.5951
Abstract With semiconductor technology gradually approaching its physical and thermal limits recent supercomputers have adopted major,negative,0.3026
architectural changes to continue increasing the performance through more,positive,0.8036
power efficient heterogeneous many core systems Examples include Sunway,positive,0.8529
TaihuLight that has four management processing elements MPEs and 256,positive,0.793
computing processing elements CPEs inside one processor and Summit that has,positive,0.9035
two central processing units CPUs and six graphics processing units GPUs,positive,0.837
inside one node Meanwhile current high resolution Earth system models that,positive,0.7505
desperately require more computing power generally consist of millions of,negative,0.0926
lines of legacy code developed for traditional homogeneous multicore,positive,0.5586
processors and cannot automatically benefit from the advancement of,positive,0.9668
supercomputer hardware As a result refactoring and optimizing the legacy,negative,0.3727
models for new architectures become key challenges along the road of taking,positive,0.95
advantage of greener and faster supercomputers providing better support for,negative,0.4546
the global climate research community and contributing to the long lasting,positive,0.8483
societal task of addressing long term climate change This article reports,positive,0.959
the efforts of a large group in the International Laboratory for,positive,0.6587
High Resolution Earth System Prediction iHESP that was established by the,positive,0.8737
cooperation of Qingdao Pilot National Laboratory for Marine Science and,positive,0.8621
Technology QNLM Texas A M University TAMU and the National Center for,positive,0.8396
Atmospheric Research NCAR with the goal of enabling highly efficient,positive,0.976
simulations of the high resolution 25 km atmosphere and 10 km ocean,positive,0.9969
Community Earth System Model CESM HR on Sunway TaihuLight The refactoring,positive,0.9355
and optimizing efforts have improved the simulation speed of CESM HR from 1 SYPD simulation years per day to 3 4 SYPD with output disabled and,negative,0.1218
supported several hundred years of pre industrial control simulations With,positive,0.6346
further strategies on deeper refactoring and optimizing for remaining,positive,0.931
computing hotspots as well as redesigning architecture oriented,positive,0.7235
algorithms we expect an equivalent or even better efficiency to be gained on the,negative,0.2671
new platform than traditional homogeneous CPU platforms The refactoring and,positive,0.8545
optimizing processes detailed in this paper on the Sunway system should have,positive,0.9074
implications for similar efforts on other heterogeneous many core systems,positive,0.578
such as GPU based high performance computing HPC systems,positive,0.5698
This article is a reflection on my career in Earth remote sensing and its evolution from an early childhood love of nature I recount the influence of key people along the way to my development as an atmospheric scientist and ultimately to my role as senior project scientist of NASA s Earth Observing System one of the largest science program in the world in the 1990s and 2000s Special focus is on unexpected encounters and opportunities to learn and explore and ultimately to play a role in the remote sensing of aerosol and cloud properties from the ground aircraft and satellites A major focus of much of my research at NASA Goddard Space Flight Center was on the development and exploitation of the Moderate Resolution Imaging Spectroradiometer that ultimately flew on NASA s Terra and Aqua satellites As a participant on this science team I had the opportunity to learn from and collaborate with biological oceanographers atmospheric scientists and terrestrial ecologists and ultimately to publish in each of these areas far more than my basic academic home,negative,0.089
The greenhouse effect is the best most fully established theory in atmospheric science It is this well understood greenhouse effect that keeps the Venus surface hot enough to bake potatoes out in the open while the lack of all but a very thin greenhouse makes the Martian surface resemble a very effective commercial deep freeze Scientists predicted these temperatures with models before spacecraft measured them The same models predict a warming for the Earth of between 3 and 4 degrees C by 2030,positive,0.907
We understood radiative transfer very well The theory is based on sound physics and as far as we know there is no antidote within the natural Earth system except ofcourse to remove the gases from the atmosphere again This is a very costly process such a costly antidote to warming is not in my opinion something which we are likely to see,positive,0.9927
Weijun Li Lei Liu Qi Yuan Liang Xu Yanhong Zhu Bingbing Wang Hua Yu Xiaokun Ding Jian Zhang Dao Huang Dantong Liu Wei Hu Daizhou Zhang Pingqing Fu Maosheng Yao Min Hu Xiaoye Zhang Zongbo Shi Department of Atmospheric Sciences School of Earth Sciences Zhejiang University Hangzhou 310027 China State Key Laboratory of Marine Environmental Science College of Ocean and Earth Sciences Xiamen University Xiamen 361102 China College of Life and Environmental Sciences Hangzhou Normal University 310036 Hangzhou China Department of Chemistry Zhejiang University Hangzhou 310027 China Institute of Surface Earth System Science Tianjin University 300072 Tianjin China Faculty of Environmental and Symbiotic Sciences Prefectural University of Kumamoto Kumamoto 862 8502 Japan State Key Joint Laboratory of Environmental Simulation and Pollution Control College of Environmental Sciences and Engineering Peking University Beijing 100871 China Key Laboratory of Atmospheric Chemistry Chinese Academy of Meteorological Sciences Beijing,positive,0.9991
Atmospheric observatories in the remote areas represent the primary infrastructure for the state of the art meteorological and climate research and play a crucial role in Climate Change comprehension However the World Meteorological Organization Global Atmosphere Watch WMO GAW states in their 2018 final report that the fate of the next generation of monitoring stations will be dramatically modified by the breakthroughs of new low cost sensor LCS technologies The development and improvement of low cost technologies are proving notable applications and today LCSs are already playing a crucial role in fields such as model or emission validation and spatial variability of pollution 1 Upcoming earth observation programmes applications services and support in citizen inclusion in earth monitoring are pushing the European Union EU in funding R D to assess low cost technologies thus making the introduction of basic and applied research imperative,positive,0.8921
PIONEER aims at establishing a low cost wireless sensor network LCS WSN for the study of transboundary transport phenomena of air pollutants Given its highly relevance for the Earth climate ecosystems and human health primary endeavor will be directed towards the study of tropospheric ozone to obtain quantitative reproducible in situ measurements Tropospheric ozone is one of the most important atmospheric gases involved in photochemical reactions 2 it plays a central role in the radiative budget of the atmosphere and it is the third greenhouse gas in the troposphere 3 Also surface ozone is a dangerous secondary pollutant causing harm to human health and ecosystems 4 Since the troposphere is a very complex system the goal is to develop and deploy a reliable LCS WSN along the trail Munich Venice to be used by scientists as well as citizen engineers in remote areas where the needs of reliable dense spatial data to model the transport phenomena and Climate Change effects is decisive,positive,0.9953
PIONEER will exploit the existing open source technologies and commercial low cost sensors to provide a LCS WSN systems for long term climate data collection a cloud assisted database for time series collection and management a web portal for uploading displaying performing statistical analysis and downloading records and metadata in a fully open access fashion a comprehensive open source repository with tools guidelines and application developed The software will be open source and released under copyleft license thus allowing the complete reproducibility of all the developed devices and tools,positive,0.9979
Individual Global Fellowships granted by the Research Executive Agency,positive,0.7469
Grant Agreement number 844526 PIONEER H2020 MSCA IF 2018,positive,0.7661
1 Lewis Alastair W Richard Peltier and Erika von Schneidemesser Low cost sensors for the measurement of atmospheric composition overview of topic and future applications 2018,positive,0.9833
2 Crutzen P J Lawrence M G Poschl U On the background photochemistry of tropospheric ozone Tellus AB 51 123 146 1999,negative,0.0638
3 Forster Piers et al Changes in atmospheric constituents and in radiative forcing Chapter 2 Climate Change 2007 The Physical Science Basis 2007,positive,0.9657
4 Cooper Owen R et al Global distribution and trends of tropospheric ozone An observation based review 2014,positive,0.9259
5 Young P J et al Pre industrial to end 21st century projections of tropospheric ozone from the Atmospheric Chemistry and Climate Model Intercomparison Project ACCMIP Atmospheric Chemistry and Physics 13 4 2013 2063 2090,positive,0.8722
In recent times Satellite technology evolution and data based technology manipulation are made essential for real time tracking and monitoring This project relies on collecting real time data by designing a small nanosatellite popularly named Cube Shaped Satellite CubeSat This satellite is a demonstration for low earth orbit Since this CubeSat design is a framework of atmospheric environmental monitoring which includes sensors for parameters include temperature position and location of satellite air condition pressure monitoring The pressure at altitudes can be tolerated with different materials based on requirement These sensors are connected through a mini microcontroller and can be accessed easily Instead of metallic cube boxes either use polymers or graphite The project provides low cost and student friendly approach whereas we can access them remotely with the help of a drone Here the nano satellite is for student supportive and research purposes where the goal is to capture process and acquire geographical data After the complete CubeSat designing and testing it can be integrated with advanced systems that can provide efficient result work as a part of engineering and data science in real time Also this project will explore the students and engineers to acquire valuable data in different low earth orbiting altitudes,negative,0.1359
Coupled ocean atmosphere models still suffer from systematic biases in simulating the sea surface temperature SST in the equatorial Pacific Like in many current generations of climate models the Chinese Academy of Sciences CAS Earth System Model CAS ESM2 0 simulated warmer SST in the eastern Pacific and colder SST in the central to western Pacific at the equator We analyzed the physical processes causing these biases We find that model biases in surface heat flux are a consequence not the cause of the SST bias Ocean currents are implicated as the cause The biases in ocean currents come from both the ocean model itself and the bias in surface winds in the atmospheric model We show that the bias of ocean currents in the standalone ocean model causes warming in the region of positive precipitation bias in the standalone atmospheric model When the two models are coupled the precipitation bias is greatly amplified Anomalous equatorial winds as atmospheric Rossby gravity wave response to precipitation induce additional bias in ocean currents that transport heat in the upper ocean The cold equatorial SST bias in the central and western Pacific is found to be due to temperature advection by the anomalous zonal currents while the warm bias in the eastern Pacific is due to advection by the anomalous zonal and meridional currents as well as downwelling Results from the analysis offer insights into the causes of the SST biases in coupled models in the equatorial Pacific,positive,0.8154
